country_code,wave,wave_label,age_band,n,share
HU,8,"W8
2024",35-39,91,20.495495495495494
HU,8,"W8
2024",40-45,148,33.33333333333333
IE,1,"W1
1991",18-24,178,28.943089430894307
IE,1,"W1
1991",25-29,108,17.560975609756095
IE,1,"W1
1991",30-34,141,22.926829268292686
IE,1,"W1
1991",35-39,89,14.471544715447154
IE,1,"W1
1991",40-45,99,16.097560975609756
IE,2,"W2
1995",18-24,166,23.314606741573034
IE,2,"W2
1995",25-29,143,20.084269662921347
IE,2,"W2
1995",30-34,140,19.662921348314608
IE,2,"W2
1995",35-39,141,19.803370786516854
IE,2,"W2
1995",40-45,122,17.134831460674157
IE,3,"W3
2000",18-24,201,18.732525629077355
IE,3,"W3
2000",25-29,195,18.173345759552657
IE,3,"W3
2000",30-34,194,18.080149114631876
IE,3,"W3
2000",35-39,228,21.24883504193849
IE,3,"W3
2000",40-45,255,23.76514445479963
IE,4,"W4
2005",18-24,87,13.765822784810128
IE,4,"W4
2005",25-29,111,17.563291139240505
IE,4,"W4
2005",30-34,120,18.9873417721519
IE,4,"W4
2005",35-39,150,23.734177215189874
IE,4,"W4
2005",40-45,164,25.949367088607595
IE,5,"W5
2010",18-24,103,15.259259259259258
IE,5,"W5
2010",25-29,121,17.925925925925927
IE,5,"W5
2010",30-34,153,22.666666666666664
IE,5,"W5
2010",35-39,147,21.777777777777775
IE,5,"W5
2010",40-45,151,22.37037037037037
IE,6,"W6
2015",18-24,73,12.82952548330404
IE,6,"W6
2015",25-29,77,13.53251318101933
IE,6,"W6
2015",30-34,99,17.398945518453427
IE,6,"W6
2015",35-39,156,27.416520210896312
IE,6,"W6
2015",40-45,164,28.822495606326886
IE,8,"W8
2024",18-24,72,12.34991423670669
IE,8,"W8
2024",25-29,77,13.20754716981132
IE,8,"W8
2024",30-34,120,20.58319039451115
IE,8,"W8
2024",35-39,140,24.013722126929675
IE,8,"W8
2024",40-45,174,29.845626072041163
IT,1,"W1
1991",18-24,121,18.586789554531492
IT,1,"W1
1991",25-29,143,21.96620583717358
IT,1,"W1
1991",30-34,116,17.81874039938556
IT,1,"W1
1991",35-39,123,18.89400921658986
IT,1,"W1
1991",40-45,148,22.734254992319507
IT,2,"W2
1995",18-24,116,16.407355021216407
IT,2,"W2
1995",25-29,131,18.528995756718526
IT,2,"W2
1995",30-34,132,18.67043847241867
IT,2,"W2
1995",35-39,148,20.933521923620933
IT,2,"W2
1995",40-45,180,25.459688826025463
IT,3,"W3
2000",18-24,146,14.202334630350194
